	Unnamed: 0	_id	pos_processed_news	news_table_id	id	arquivo_hash	news_link	news_site_date	news_site_title	news_site_authors	news_site_text	search_newspaper	title_len	arquivo_date	feminicidio	violencia_domestica	violencia_sexual	assedio_sexual	mulheres_assassinadas	search_keywords	title_countains_keyword	annotated_data	dateyear	country	region	lat	lon	district	cont_mad_azo	geometry
163	1813	60082d71d0d6153140dd69d0	60082d3d6c4fa8b10676daea	60021022daf0a7a32dd430d1	IAH-20100524165811-00083-p12.arquivo.pt	cc2be5bd942034cb6d93e72a6fd1a862	https://arquivo.pt/noFrame/replay/20100524170216/http://www.publico.pt/Local/homem-mata-mulher-e-filha-a-facada-em-braga_1438482		Homem mata mulher e filha à facada em Braga	['Tentou Suicidar-Se']	A Polícia Judiciária de Braga já está a investigar o duplo homicídio, que aconteceu durante a madrugada, numa torre de apartamentos no centro da cidade, na freguesia de S. Vítor, após uma violenta discussão entre o casal. De acordo com a versão da polícia, o homem, de 35 anos, esfaqueou-se depois de atacar com violência a mulher, de 32 anos, e a filha. Terão sido os vizinhos a dar o alarme, cerca das 7h00, depois de ouvirem os pedidos de ajuda da mulher. Chamada ao local, a PSP acabou por deter o homem – que se encontrava no interior apartamento, deitado na cama, a sangrar – e confirmou os óbitos, com o apoio do INEM.    O caso foi comunicado pela PSP à Judiciária, que recolheu no apartamento vários indícios e aguardava que o homem ficasse em condições de ser interrogado para esclarecer as motivações do crime.	publico	9	2010-05-24 17:02:16	False	True	False	False	True	True	True	y	2010	Portugal	Cávado	41.5510583	-8.4280045	BRAGA	continental	POINT (-8.4280045 41.5510583)
161	1803	60082d71d0d6153140dd69c4	60082d3d6c4fa8b10676dade	6001e4badaf0a7a32dd410ad	IAH-20100909150147-00000-p12.arquivo.pt	c2e60c3d59b884f2c1a3fed4efd5c531	https://arquivo.pt/noFrame/replay/20100909183330/http://www.publico.pt/Local/pj-detem-filho-adoptivo-da-medica-que-foi-assassinada-em-coimbra_1454923		PJ detém filho adoptivo da médica que foi assassinada em Coimbra	['Vítima Foi Encontrada Morta Em Casa']	De acordo com fonte policial, os indícios recolhidos contra o jovem de 24 anos, estudante do 4º ano do Curso de Medicina da Universidade de Coimbra, “são extremamente evidentes” e tudo aponta para que tenha havido “algum grau de premeditação” no crime.    Os motivos que poderão ter estado na origem do homicídio são “complexos”, mas as relações familiares “muito tensas”, em particular entre mãe e filho, poderão ser parte da explicação, explicou ao PÚBLICO fonte ligada à investigação. O jovem de 24 anos encontrava-se actualmente a viver com a mãe adoptiva, num apartamento da urbanização “Quinta da Lomba”, em Coimbra, depois de os pais adoptivos se terem separado.    O corpo da médica de família, que trabalhava há mais de uma década no Centro de Saúde do bairro Norton de Matos, foi encontrado terça-feira de manhã, cerca das 8h30, pela empregada doméstica, num cenário de alguma violência. O filho adoptivo foi detido ainda ontem pela Polícia Judiciária, tendo sido alvo de interrogatório.    	publico	11	2010-09-09 18:33:30	False	True	False	False	True	True	True	y	2010	Portugal	Baixo Mondego	40.2109801	-8.429205699999999	COIMBRA	continental	POINT (-8.429205699999999 40.2109801)
158	1758	60082d71d0d6153140dd6981	60082d3d6c4fa8b10676da9b	600218567f92159084b6597c	IAH-20110310160147-00036-p12.arquivo.pt	9a93d9112b7a409ecc8557b46921bae4	https://arquivo.pt/noFrame/replay/20110311001308/http://www.dn.pt/Inicio/interior.aspx?content_id=1789620		Idoso mata a mulher e suicida-se em seguida	[]	O crime ocorreu no Restelo, no Bairro de Caselas, estando a Polícia Judiciária no local a tomar conta da ocorrência, bem como várias ambulâncias para remover os corpos.  O idoso estrangulou a mulher, que sofria de Alzheimer, tendo a degradação do seu estado de saúde sido a causa provável do crime, dado que o idoso não conseguia cuidar da mulher.  Depois de a ter morto, o idoso enforcou-se, tendo sido encontrado pelo genro, que deparou com os corpos num dos quartos da habitação. O Homem deixou três cartas de despedida explicando os motivos do crime, uma endereçada ao genro, outra à neta e ainda outra ao marido da neta.	diario_noticias	9	2011-03-11 00:13:08	False	False	False	False	True	True	True	y	2011	Portugal	Grande Lisboa	38.71592310000001	-9.215510684769646	LISBOA	continental	POINT (-9.215510684769646 38.71592310000001)
146	1662	60082d71d0d6153140dd68a9	60082d3d6c4fa8b10676d9c3	600210fbdaf0a7a32dd43106	IAH-20120215012125-00087-p12.arquivo.pt	3d39eca3ffcce275d1cccdd373f17c80	https://arquivo.pt/noFrame/replay/20120215022752/http://www.publico.pt/Local/homem-mata-mulher-filha-e-neta-em-beja-1533572		Homem mata mulher, filha e neta em Beja	['São Vieira', 'Paulo Morgado', 'São José Almeida']	Uma equipa do Instituto Nacional de Emergência Médica (INEM) concluiu que a morte das três vítimas “poderá ter ocorrido em dias anteriores”, explicou ao PÚBLICO o superintendente da PSP de Beja, Viola da Silva.    O primeiro sinal de que algo anormal se passava foi transmitido pelo namorado da filha do ex-bancário à PSP em Lisboa. Havia vários dias que tentava contactá-la sem sucesso por telefone, achando estranho tão prolongado silêncio.    Como acontece nestas circustâncias, explicou Viola da Silva, elementos da PSP de Beja deslocaram-se à residência indicada. Quando se aproximaram do local, pelas 17h00 desta segunda-feira, “os agentes ouviram um suposto tiro” e rapidamente foi dada ordem para cercar a residência.    Elementos do Grupo de Operações Especiais (GOE) deslocaram-se de imediato para o local, prevendo-se a possibilidade de ter “de actuar pela força”. Pensava-se na altura que o indivíduo mantivesse os membros da família sob sequestro.    Durante cerca de três horas, os elementos da força de intervenção mantiveram-se na expectativa. Não se ouviu qualquer ruído depois do “suposto” disparo de uma arma de fogo. “Até chegámos a pensar que o indivíduo se tivesse suicidado”, disse a PSP.    A força de intervenção apontou projectores para as janelas da casa e foi então que se ouviu ruído e as autoridades pediram ao homem para se entregar. Quando este abriu a porta, cerca das 20h, os agentes da polícia detiveram-no, com o alegado homicida a revelar alguma resistência, enquanto elementos do INEM entravam no interior das instalações.    Quem entrou na habitação fala de imagens “horríveis”. Testemunhos da vizinhança garantem que o ex-bancário “não era visto em público há quatro dias”, referiu Viola da Silva.    O alegado homicida tem antecedentes criminais. Esteve preso por burla. Durante o tempo que esteve detido, tirou o curso de Direito, mas não exercia a profissão. Até à hora de publicação deste artigo, não eram conhecidas as razões para o sucedido.    Notícia actualizada às 22h54    	publico	8	2012-02-15 02:27:52	False	False	False	False	True	True	True	y	2012	Portugal	Alentejo Litoral	38.361599299999995	-8.50081435	SETÚBAL	continental	POINT (-8.500814350000001 38.36159929999999)
145	1661	60082d71d0d6153140dd68a8	60082d3d6c4fa8b10676d9c2	6001f0cfdaf0a7a32dd4196f	IAH-20120215050618-00202-p12.arquivo.pt	8df85273b556859851cc773641dbcaa5	https://arquivo.pt/noFrame/replay/20120215052242/http://www.jn.pt/paginainicial/pais/concelho.aspx?Distrito=Viseu&Concelho=Sernancelhe&Option=Interior&content_id=2270335		Mulher assassinada em Sernancelhe	['Sandra Ferreira']	"O corpo da septuagenária foi encontrado por uma vizinha que entrou na casa da vítima e se deparou com sangue espalhado no chão, soube o JN.  O oficial de serviço ao Comando-Geral da GNR, em Lisboa, explicou à Lusa que os dados recolhidos na casa onde ocorreu o homicídio, de cujo suspeito principal é um familiar, apontam para que a idosa tenha sido golpeada com um objecto contundente, suspeitando as autoridades que se trate de ""uma cadeira"".  O suspeito do homicídio encontra-se na zona, mas ainda não foi detido por ""não estarem recolhidos os elementos de prova que concluam a sua culpabilidade"". Fonte policial revelou que ""já havia antecedentes de desavenças familiares"".  No local do crime está desde a tarde deste sábado uma equipa dos homicídios da Polícia Judiciária, a fazer a recolha de elementos de prova, em colaboração com a GNR.  *com Lusa"	jornal_noticias	4	2012-02-15 05:22:42	False	False	False	False	True	True	True	y	2012	Portugal	Grande Lisboa	38.70775070000001	-9.1365919	LISBOA	continental	POINT (-9.136591900000001 38.70775070000001)
144	1659	60082d71d0d6153140dd68a2	60082d3d6c4fa8b10676d9bc	60021d917f92159084b65e64	IAH-20120220020836-00143-p12.arquivo.pt	2cae409820abd2026ee660ff82bc2dec	https://arquivo.pt/noFrame/replay/20120220021634/http://sol.sapo.pt/inicio/Sociedade/Interior.aspx?content_id=41417		Beja: ex-bancário mata mulher, filha e neta dentro de casa [fotos]	['Luciano Matias']	Clique na imagem para ver mais fotos  Um homem que estava barricado numa casa na rua de Moçambique, em Beja, entregou-se às autoridades que descobriram no interior da habitação os cadáveres da mulher, filha e neta.  FOTOGALERIA: O momento da detenção.  Durante a tarde ouviram-se tiros na casa do ex-bancário, o que fez acorrer para o local a polícia e Grupo de Operações Especiais (GOE) da polícia.  Pouco depois de a situação ter sido noticiada pela televisão, os policias conseguiram entrar na casa, onde o homem, em tronco nu, se entregou. No interior da habitação encontrariam os três cadáveres, de duas mulheres e de uma criança.  De acordo com fontes no local, o detido disse à polícia que estas já estariam mortas há algum tempo.  O homem, ex-bancário, esteve preso há alguns anos por fraude bancária e sofria de uma doença oncológica grave que lhe terá agravado a sua condição mental.  Os vizinhos dizem que nunca houve situações de violência doméstica, mas referem que se tratava de uma pessoa estranha e que passava muito tempo sem ser visto na rua.  No local estão várias viaturas da PSP de Beja, uma ambulância do INEM e os Bombeiros.  SOL	sol	12	2012-02-20 02:16:34	False	True	False	False	True	True	True	y	2012	Portugal	Baixo Alentejo	38.0154479	-7.8650368	BEJA	continental	POINT (-7.8650368 38.0154479)
143	1634	60082d71d0d6153140dd6866	60082d3d6c4fa8b10676d980	600219067f92159084b659a0	IAH-20120716034112-00133-p12.arquivo.pt	72a23b104aba01d8217eb8a2dfe7dce3	https://arquivo.pt/noFrame/replay/20120716040308/http://www.dn.pt/inicio/portugal/interior.aspx?content_id=2603029		Homem mata ex-mulher grávida de sete meses	[]	"Fonte policial afirmou à agência Lusa que o alegado homicida se deslocou à residência da ex-mulher, de 24 anos, matando-a à facada.  Na residência, localizada na aldeia de Vale da Palha, freguesia de Pêro Moniz, estavam também os pais da mulher, de 54 e 57 anos, que foram também agredidos.  O homem terá agido por questões passionais, tendo em conta que a ex-companheira teria um novo relacionamento e se encontrava grávida de sete meses.  Alertadas as autoridades, os pais da vítima foram encontrados ""em estado grave"" com vários ferimentos da arma branca e transportados para a urgência do Centro Hospitalar de Torres Vedras pelos bombeiros do Cadaval, disse à Lusa o comandante da corporação, Luís Gaspar.  No local estiveram também a assisti-los as viaturas médicas de emergência e reanimação de Caldas da Rainha e de Torres Vedras."	diario_noticias	8	2012-07-16 04:03:08	False	False	False	False	True	True	True	y	2012	Portugal	West	39.11014835	-9.276731117530927	LISBOA	continental	POINT (-9.276731117530927 39.11014835)
142	1631	60082d71d0d6153140dd6862	60082d3d6c4fa8b10676d97c	600219047f92159084b6599d	IAH-20120728150201-00055-p12.arquivo.pt	f7b1eb6980867b20a113492412a1bed3	https://arquivo.pt/noFrame/replay/20120728225818/http://www.dn.pt/especiais/interior.aspx?content_id=2669933&especial=Revistas%20de%20Imprensa&seccao=TV%20e%20MEDIA		Homem doente mata mulher	[]	"Conta hoje o Correio da Manhã que Jorge de 53 anos, com doença terminal, dispara sobre Adriana, de 47 anos. O filho encontra os pais mortos em casa de Lisboa, no dia em que festejava aniversário. Vizinhos garantem que ""matou por amor""."	diario_noticias	4	2012-07-28 22:58:18	False	False	False	False	True	True	True	y	2012	Portugal	Grande Lisboa	38.70775070000001	-9.1365919	LISBOA	continental	POINT (-9.136591900000001 38.70775070000001)
141	1617	60082d71d0d6153140dd684b	60082d3d6c4fa8b10676d965	6002190a7f92159084b659a9	IAH-20120903150147-00036-p12.arquivo.pt	171a4eda3d20089a17723239b8e8d30c	https://arquivo.pt/noFrame/replay/20120903153118/http://www.dn.pt/inicio/portugal/interior.aspx?content_id=2749308		Homem que matou mulher detido em casa de familiares	[]	"Segundo a fonte, o alegado homicida de 55 anos não ofereceu qualquer resistência, tendo sido levado para o posto da GNR para ser interrogado.  O homicídio ocorreu cerca da 01:00, quando o homem ""desferiu um tiro de pistola na cara da mulher, de 52 anos, depois de a ter agredido com vários golpes na cara e no pescoço com um objeto perfurante"", desconhecendo-se para já os motivos.  Depois de ter cometido o crime, o presumível homicida fugiu a pé, ""provavelmente armado"", pelo que a GNR de Chaves, Boticas e Montalegre, apesar de a investigação estar a cargo da Polícia Judiciária (PJ), mobilizou um dispositivo de nove homens para patrulhar as imediações do local do crime e ""locais prováveis"" de esconderijo.  A violência doméstica é um tipo de crime que preocupa e merece muita atenção por parte da GNR de Vila Real.  No primeiro semestre deste ano, a Guarda contabilizou 187 crimes de violência doméstica no distrito. No ano passado, foram registadas 397 ocorrências, com igual número de arguidos, valores idênticos aos 2010."	diario_noticias	9	2012-09-03 15:31:18	False	True	False	False	True	True	True	y	2012	Portugal	Beira Interior Norte	40.70458035	-7.195120796863067	GUARDA	continental	POINT (-7.195120796863067 40.70458035)
138	1603	60082d71d0d6153140dd683d	60082d3d6c4fa8b10676d957	60021110daf0a7a32dd43115	IAH-20120911032929-00161-p12.arquivo.pt	f9b75dffd4fcb7153cfab2c65cc4c8c1	https://arquivo.pt/noFrame/replay/20120911035415/http://www.publico.pt/Local/homem-que-matou-mulher-em-boticas-foi-detido-1561491		Homem que matou mulher em Boticas foi detido	['José Vítor Malheiros']	Fonte policial adiantou à agência Lusa que o homem, de 55 anos, não ofereceu qualquer resistência, tendo sido levado para o posto da GNR local para ser interrogado.    O homicídio ocorreu cerca da 01h, quando o homem “desferiu um tiro de pistola na cara da mulher, de 52 anos, depois de a ter agredido com vários golpes na cara e no pescoço com um objecto perfurante”, desconhecendo-se para já os motivos.    Depois de ter cometido o crime, o homem fugiu a pé, “provavelmente armado”, pelo que a GNR de Chaves, Boticas e Montalegre, apesar de a investigação estar a cargo da Polícia Judiciária (PJ), mobilizou um dispositivo de nove homens para patrulhar as imediações do local do crime e “locais prováveis” de esconderijo.    A violência doméstica é um tipo de crime que preocupa e merece muita atenção por parte da GNR de Vila Real. No primeiro semestre deste ano, a Guarda contabilizou 187 crimes de violência doméstica no distrito. No ano passado, foram registadas 397 ocorrências, com igual número de arguidos, valores idênticos aos 2010.    Em 2011, segundo a GNR, duas mulheres morreram vítimas de violência doméstica no distrito. No corrente ano, foram registadas também duas vítimas mortais, contando já com a mulher que perdeu a vida esta madrugada, em Boticas.      	publico	8	2012-09-11 03:54:15	False	True	False	False	True	True	True	y	2012	Portugal	Beira Interior Norte	40.70458035	-7.195120796863067	GUARDA	continental	POINT (-7.195120796863067 40.70458035)
