Unnamed: 0	_id	pos_processed_news	news_table_id	id	arquivo_hash	news_link	news_site_date	news_site_title	news_site_authors	news_site_text	search_newspaper	title_len	arquivo_date	feminicidio	violencia_domestica	violencia_sexual	assedio_sexual	mulheres_assassinadas	search_keywords	title_countains_keyword	annotated_data	dateyear	country	region	lat	lon
2	60082d71d0d6153140dd5d78	60082d3d6c4fa8b10676ce92	6001eb36daf0a7a32dd41343	WEB-20191107010903502-p82.arquivo.pt	6e5db24eaa9e3f259de7c33a87195aa4	https://arquivo.pt/noFrame/replay/20191107010906/https://www.dn.pt/pais/amp/madeira-mulher-assassinada-a-facada-por-ex-companheiro--11160015.html		Madeira. Mulher assassinada à facada por ex-companheiro	[]	A PSP deteve o suspeito homicida que foi visto por várias testemunhas a fugir do local do crime desta madrugada, em Jardim do Mar, Calheta. A PJ tem o processo e está a recolher as provas  A PJ destacou para o local as suas equipas forenses para recolher vestígios do crime © Amin Chaar / Global Imagens  Uma mulher, 53 anos, foi esta madrugada morta à facada pelo seu ex-companheiro, de 39 anos, em Jardim do Mar, uma pequena localidade de pescadores, perto da Calheta, na ilha da Madeira. É a 17ª vítima este ano de crime relacionado com violência doméstica.  A mulher tinha três filhos, adolescentes, que seriam de um anterior casamento.  A PSP já deteve, ao início da manhã desta segunda-feira, o presumível homicida, que terá sido visto por várias testemunhas a fugir do local do crime, deixando para trás um rasto de sangue e violência.  A mulher foi encontrada despida no quarto, com vários golpes e hemorragias por todo o corpo.  De acordo com fonte policial que está a acompanhar o caso, o casal estava separado há alguns meses, mas mantinham contactos esporadicamente.  Este domingo, num contexto de confraternização habitual entre a pequena população de Jardim do Mar, encontraram-se, tendo ao final da noite ido juntos para casa.  Segundo ainda as averiguações preliminares, pouco depois das duas da manhã alguns populares ouviram gritos e o homem, José F., a fugir.  As autoridades, PJ e PSP, foram de imediato alertadas e trabalharam em conjunto na localização do foragido, tendo esta última policia conseguido capturar o suspeito ao início do dia entregando-o à Judiciária.  A PJ, que destacou para o local as suas equipas do Laboratório de Polícia Científica para recolher provas do homicídio, assumiu o inquérito. O suspeito deverá ser presente ao juiz esta segunda-feira.  Esta mulher é a 17ª vítima de crimes de violência doméstica só este ano. No ano passado foram mortas às mãos dos maridos, companheiros, ou ex-maridos e ex-conjugues 28 mulheres.	diario_noticias	8	2019-11-07 01:09:06	False	True	False	False	True	True	True	y	2019	Portugal	Madeira	32.74517902	-17.118800247254406
34	60082d71d0d6153140dd5d9b	60082d3d6c4fa8b10676ceb5	6001eebcdaf0a7a32dd416cf	IAH-20190626035316181-p84.arquivo.pt	df0d605ad3ca5744b58677428a39be48	https://arquivo.pt/noFrame/replay/20190626035400/https://sol.sapo.pt/artigo/662321/mais-uma-mulher-assassinada-depois-de-anos-de-viol-ncia-domestica-em-lisboa		Mais uma mulher assassinada depois de anos de violência doméstica em Lisboa	['Jornal Sol']	A PSP deteve um homem, de 44 anos, na zona da Penha de França, em Lisboa, pela morte da mulher.  De acordo com um comunicado daquela força de segurança, o homem agredia a vítima, pelo menos, desde 2017. Segundo a mesma nota, várias agressões ocorreram em frente aos filhos de ambos.  A violência acabou por se intensificar nos últimos dias e a vítima acabou por morrer no passado dia 13 de junho.  O suspeito foi presente no Tribunal Judicial da Comarca de Lisboa para primeiro Interrogatório judicial, tendo-lhe sido aplicada a medida de coação de prisão preventiva.	sol	12	2019-06-26 03:54:00	False	True	False	False	True	True	True	y	2019	Portugal	Grande Lisboa	38.7208294625	-9.155543068587704
60	60082d71d0d6153140dd5dd5	60082d3d6c4fa8b10676ceef	6001f750daf0a7a32dd41f26	IAH-20190619032028668-p84.arquivo.pt	4c39aa024960497a05ac38d4ead95ce0	https://arquivo.pt/noFrame/replay/20190619032126/https://sol.sapo.pt/artigo/661934/mae-de-cinco-criancas-assassinadas-pelo-pai-pede-clem-ncia		Mãe de cinco crianças assassinadas pelo pai pede clemência	['Jornal Sol']	"Tim Jones, de 37 anos, matou os cinco filhos em agosto de 2014. Merah, de 8 anos, Elias de 7, Nahtahn de 6, Gabriel de 2 e Abigail Elaine de 1 perderam a vida na casa da família em Red Bank, no condado de Lexington, na Carolina do Sul.  De acordo com o Greenville News, Jones obrigou Nahtahn a realizar exercícios físicos rigorosos como castigo. Quando percebeu que o menino tinha morrido “por acidente”, julgou que a única hipótese seria “matar as outras crianças”, sendo que sufocou cada uma delas enquanto dormiam. Sublinhe-se que a escolha do método de homicídio mostra premeditação, pois Gabriel e Abigail foram sufocados com um cinto porque “as mãos do pai eram demasiado grandes para segurar os seus pescoços”.  As autópsias realizadas aos cadáveres dos menores confirmam que morreram por asfixia, no entanto, a autópsia de Nahtahn foi inconclusiva. O procurador Rick Hubbard avançou que o homem estava “especialmente zangado” com o menino de seis anos porque, após a separação dos pais, este pedia para ir viver com a mãe. Nessa noite, a criança também tinha estragado tomadas elétricas da casa, outro dos motivos que contribuíram para a revolta de Jones.  Os advogados de defesa do homicida alegaram que “é inocente por razões de insanidade”, contudo, o júri rejeitou esta tese e, na última quinta-feira, demorou apenas uma hora e 50 minutos a decidir o veredicto: morrer na cadeira elétrica. Porém, é provável que passem anos até que a sentença seja levada a cabo, porque só no Estado da Carolina do Sul estão outros 37 homicidas no corredor da morte – sendo que todos estes estão acusados de dois homicídios, enquanto o engenheiro de software colocou fim à vida dos cinco filhos.  Depois de matar os filhos, Jones envolveu os cadáveres das crianças em plástico e colocou-no dentro do seu carro, tendo conduzido durante nove dias, até abandonar os corpos numa área rural no Alabama.  Ficou provado que Jones tentava manipular as crianças com frases bíblicas afirmando, por exemplo, que só podiam amá-lo, que não seriam partilhados com ninguém e que sentiriam a sua raiva caso não lhe demonstrassem “total devoção”. A defesa tentou jusitificar a situação, dizendo que o homem era ""produto do crescimento numa família disfuncional” e que “estava geneticamente predisposto a sofrer de distúrbios psicológicos graves”.  Amber Kyzer, ex-mulher do homicida e mãe das vítimas mortais, surpreendeu todos ao pedir que não fosse aplicada a pena de morte para o homem que matou os seus cinco filhos. “Mesmo para quem cometeu um crime tão horrível, a vida na prisão seria um melhor castigo do que que a morte”, adirmou, pedindo que o antigo companheiro “seja poupado à cadeira elétrica”. O casal conheceu-se em 2004, quando trabalhava num parque infantil de Chicago. Cinco filhos depois, Kyzer decidiu terminar o relacionamento porque o marido defendia que “as mulheres devem ser vistas e não ouvidas”."	sol	9	2019-06-19 03:21:26	False	False	False	False	True	True	True	y	2019	United States	Tennessee	36.111145500000006	-83.96474856
73	60082d71d0d6153140dd5de4	60082d3d6c4fa8b10676cefe	6001ec0bdaf0a7a32dd4140b	WEB-20190607144530094-p82.arquivo.pt	9097701df368c00deec190a5693a0cf6	https://arquivo.pt/noFrame/replay/20190607144616/https://www.cmjornal.pt/portugal/detalhe/familia-quer-ficar-com-filho-de-mulher-assassinada-pelo-ex-amante-em-amarante		Família quer ficar com filho de mulher assassinada pelo ex-amante em Amarante	[]	"O filho da Sónia está com a família dela e é aí que vai continuar. Nunca o íamos entregar à família de um homicida."" As palavras são de Hernâni Mendes, tio de Sónia Leite, mulher que morreu terça-feira da semana passada em Amarante, após ter sido atingida a tiro pelo ex-companheiro.Deixa dois filhos, uma jovem de 18 anos e um menino de três, filho do homicida. O agressor baleou ainda na cabeça o atual namorado de Sónia, que teve morte imediata. Depois de cometer o crime, Joaquim Almeida fugiu do local num Opel branco. Passado uma semana continua a ser procurado.O crime deixou a população em choque. A família da mulher acredita que Joaquim Almeida está escondido em Felgueira, de onde é natural. ""Ele tinha uma relação muito próxima com o filho. E por serem tão chegados acreditamos que ele continua por perto. Pensamos até que ele o podia querer raptar"", explicou o tio da vítima.Os familiares de Sónia Leite dizem que só vão ter paz quando as autoridades encontrarem Joaquim Almeida. ""Não vamos descansar enquanto não o descobrirem. A família está revoltada e só quer que seja feita justiça"", conclui Hernâni Mendes.Uma semana depois de o crime ter acontecido, a família do homicida retomou os seus afazeres.Na segunda-feira, a empresa de pneus, da qual Joaquim Almeida é proprietário, abriu portas e os filhos do homicida voltaram a trabalhar."	correio_manha	13	2019-06-07 14:46:16	False	False	False	False	True	True	True	y	2019	Portugal	Tâmega e Sousa	41.282441600000006	-8.060305059803397
99	60082d71d0d6153140dd5e0b	60082d3d6c4fa8b10676cf25	60021b247f92159084b65abe	IAH-20190531035940659-p84.arquivo.pt	b955b48ed8a612861fc1e44ec5914220	https://arquivo.pt/noFrame/replay/20190531040058/https://www.dn.pt/portugal/interior/homem-mata-mulher-a-tiro-em-ferreira-do-alentejo-3701901.html	2014-02-22 21:27:00	Homem mata mulher a tiro em Ferreira do Alentejo	['Global Media Group']	O alegado homicídio e a tentativa de suicídio ocorreram cerca das 16.30 numa rua junto ao Mercado Municipal de Ferreira do Alentejo (distrito de Beja), precisaram à Lusa as fontes do Comando Distrital de Operações de Socorro (CDOS) e do Comando Territorial de Beja da GNR.  Segundo a fonte do CDOS, o suspeito foi transportado, em estado grave, de ambulância, para a Base Aérea n.º 11, de Beja, de onde foi depois transportado de helicóptero para o Hospital de São José, em Lisboa. O caso está a ser investigado pela Polícia Judiciária.  As operações de socorro mobilizaram duas ambulâncias, uma viatura e seis elementos dos Bombeiros Voluntários de Ferreira do Alentejo, a viatura médica de emergência e reanimação (VMER) do Hospital de Beja e militares da GNR.	diario_noticias	9	2019-05-31 04:00:58	False	False	False	False	True	True	True	y	2019	Portugal	Alentejo Litoral	38.303070899999994	-8.423686373106383
131	60082d71d0d6153140dd5e2f	60082d3d6c4fa8b10676cf49	6001f093daf0a7a32dd41910	WEB-20190522142842260-p82.arquivo.pt	75d0010b4450577bedc6c84c747f662b	https://arquivo.pt/noFrame/replay/20190522142843/http://visao.sapo.pt/actualidade/sociedade/2019-05-07-Portuguesa-assassinada-nos-Estados-Unidos-por-marido-que-tentou-suicidio	2019-05-07 00:00:00	Portuguesa assassinada nos Estados Unidos por marido que tentou suicídio	[]	"O homem, de 48 anos, identificado pelas autoridades como brasileiro, negou o crime na segunda-feira, mas vai ter de se apresentar no tribunal de Stoughton no dia 10 de junho.  O jornal Mass Live noticia que Rodrigues está hospitalizado e com ordem de detenção sem fiança e enfrenta uma acusação de homicídio.  Contactada pela Lusa, fonte do gabinete do secretário de Estado das Comunidades Portuguesas confirmou a morte da cidadã portuguesa e disse que já entrou em contacto com a família.  ""O Estado português lamenta esta trágica ocorrência. A situação está a ser acompanhada pelo nosso consulado em Boston"", lê-se na mensagem enviada à agência Lusa.  De acordo com a imprensa local, o homem foi encontrado pela polícia de Stoughton com uma faca no corpo e levado para o hospital Boston Medical Center, onde foi submetido a cirurgia e ficou hospitalizado.  Os dois filhos do casal, um menino de sete e uma adolescente de 17 anos, estavam em casa na altura dos acontecimentos, na noite de sexta-feira, e deram o alerta a um tio, que chamou as autoridades.  O jornal Boston Globe e Local Boston relatam que os polícias de Stoughton responderam a uma chamada de emergência no final do dia de sexta-feira e tiveram de partir a porta de vidro do edifício e forçar a entrada no apartamento, onde encontraram, na sala de estar, o corpo da mulher esfaqueada e o marido, com uma faca no corpo.  Numa conferência no sábado, a chefe da polícia de Stoughton, Donna McNamara, disse que foi uma ""situação de extrema violência"" e que não havia registos de violência doméstica no agregado familiar.  De acordo com a imprensa local, o irmão do suspeito, Paulo Rodrigues, disse que vai ficar com os menores e ""vai ajudar em tudo o que puder"".  Na mesma conferência de sábado, o procurador do distrito, Michael Morrissey, disse que os filhos estão em segurança, com ""serviços apropriados"" e o resto da investigação vai determinar o que os menores viram ou ouviram.  ""Obviamente um período muito traumático para as crianças e estamos a comunicar com eles como apropriado, reconhecendo que têm de ultrapassar uma parte significativa de trauma"", disse o procurador.  Lusa  ASSINE AQUI E GANHE UM SACO. AO ASSINAR ESTÁ A APOIAR O JORNALISMO INDEPENDENTE E DE QUALIDADE – ESSENCIAL PARA A DEFESA DOS VALORES DEMOCRÁTICOS EM PORTUGAL"	visao	10	2019-05-22 14:28:43	False	True	False	False	True	True	True	y	2019	United States	Ohio	41.49271858333333	-80.85960620689633
133	60082d71d0d6153140dd5e31	60082d3d6c4fa8b10676cf4b	6001e5a5daf0a7a32dd4117b	WEB-20190522133852371-p82.arquivo.pt	9f35d9e0473746df1e0f0f43fe3cf6c0	https://arquivo.pt/noFrame/replay/20190522133900/https://expresso.pt/sociedade/2019-05-02-Mulher-assassinada-em-Vila-Real-de-Santo-Antonio	2019-05-02 00:00:00	Mulher assassinada em Vila Real de Santo António	[]	O crime ocorreu esta tarde na casa da vítima, com a qual o suspeito mantinha uma relação sentimental  Uma mulher foi esta quinta-feira morta em Vila Real de Santo António por um homem com quem tinha uma relação sentimental, que entretanto já foi detido pela GNR, disse à Lusa fonte policial.  O crime ocorreu cerca das 12h30 na casa da vítima e o suspeito, que se colocou em fuga, acabou por ser detido pouco depois pela GNR em Monte Gordo, no concelho de Vila Real de Santo António, no Algarve, disse a mesma fonte.  Entretanto, foram destacados militares do Corpo de Intervenção para a área do posto da GNR onde está detido o alegado homicida, uma vez que começaram a concentrar-se no local familiares e amigos da vítima, acrescentou.  Fonte do Comando Distrital de Operações de Socorro (CDOS) de Faro disse à Lusa que no local do crime estiveram elementos dos bombeiros, da PSP e da Polícia Judiciária.  Fonte da Polícia Judiciária confirmou à Lusa que está a investigar o caso, mas escusou-se a adiantar mais pormenores.	expresso	8	2019-05-22 13:39:00	False	False	False	False	True	True	True	y	2019	Portugal	Algarve	37.2073101	-7.599403418269809
142	60082d71d0d6153140dd5e3e	60082d3d6c4fa8b10676cf58	6001e5a6daf0a7a32dd4117d	IAH-20190514192433773-p84.arquivo.pt	488e6e10ace97896dc62b59938dad264	https://arquivo.pt/noFrame/replay/20190514192512/https://expresso.pt/internacional/2019-05-13-No-pior-pais-do-mundo-para-se-ser-mulher-foi-assassinada-mais-uma-durante-o-fim-de-semana	2019-05-13 00:00:00	No “pior país do mundo para se ser mulher” foi assassinada mais uma durante o fim de semana	[]	Mina Mangal, uma conhecida jornalista alemã que trabalhava atualmente como conselheira política, já tinha avisado a respeito das ameaças que lhe tinham sido dirigidas e no sábado acabou mesmo por acontecer o pior. Foi assassinada em Cabul, capital do Afeganistão, à luz do dia, mas ainda não há responsáveis ou cúmplices.  Em comunicado, o ministro afegão do Interior, Nasrat Raimi, explicou que Mina Mangal foi assassinada às 7h20 (cerca de três horas menos em Lisboa). De acordo com várias testemunhas, dois homens de mota terão intercetado a jornalista enquanto esta esperava por um carro. Um dos atacantes disparou quatro tiros para o ar para dispersar as pessoas no local e de seguida atingiu Mina Mangal com dois tiros no peito. Alguns dos familiares da jornalista confirmaram à Radio Free Europe/Radio Liberty que esta de facto se encontrava à espera de um carro que a levaria para o Wolesi Jirga, a câmara baixa do Parlamento afegão, onde trabalhava como conselheira cultural.  A principal preocupação agora, conforme expressada pelo Supremo Tribunal do Afeganistão e grupos da sociedade civil, incluindo a comissão nacional que trata de casos de violência cometidos contra mulheres, é descobrir o que aconteceu exatamente.  Recentemente, a jornalista e conselheira cultural contou, numa publicação feita no Facebook, que tinha recebido várias ameaças e que temia pela sua vida, assim relatou uma proeminente ativista afegã dos direitos humanos, Wazhma Frogh. Embora não se saiba em que consistiram estas ameaças, um porta-voz da polícia revelou à Reuters que há suspeitas de uma disputa familiar.  Afeganistão é o “pior país do mundo para se ser mulher”  O seu homicídio levantou várias questões nas redes sociais, onde muitos utilizadores chamaram a atenção para o aumento da violência contra mulheres no país. Houve quem tivesse salientado que alguns dos maiores crimes contra mulheres no Afeganistão ocorreram durante o dia e na chamada “zona verde” da capital, onde se localizam várias embaixadas e o palácio presidencial, e que é altamente protegida.  Segundo vários grupos de direitos humanos, os casos de violência de género têm aumentado significativamente, sobretudo em áreas dominadas pelos talibãs. Um estudo realizado recentemente pela Thomson Reuters Foundation e divulgado pela Amnistia Internacional, concluiu, aliás, e com base em entrevistas com mais de 200 especialistas em direitos das mulheres, que o Afeganistão é o pior país do mundo para se ser mulher, seguido da República Democrática do Congo, Paquistão, Somália e Índia (foram tidos como critérios os casos de violação e outras formas de violência, falta de serviços de saúde, pobreza e tráfico humano).  Apesar dos esforços do Governo afegão e seus doadores internacionais para promover uma educação mais abrangente, cerca de dois terços das raparigas não frequenta a escola (números de Human Rights Watch); 97% das mulheres são iletradas e entre 70% a 80% são vítimas de casamentos forçados, muitas vezes antes de completarem sequer os 16 anos (Amnistia Internacional). Os EUA têm tentado ajudar, mas alguns dos seus programas de apoio têm sido considerados um fracasso, nomeadamente o programa intitulado “Promote”, que tinha como objetivo facilitar o acesso ao trabalho por parte das mulheres afegãs através de um fundo no valor de 280 milhões de dólares (cerca de 250 milhões de euros). “Não temos quaisquer dados que indiquem que as mulheres estejam, de facto a ser ajudadas”, referiu o diretor do Special Inspector General for Afghan Reconstruction (a autoridade norte-americana que supervisiona a reconstrução do Afeganistão), em setembro de 2018.  Não é certa a ligação entre as duas realidades mas na verdade são as mulheres quem mais se suicida no Afeganistão, 80% do total dos suicídios, segundo dados do Governo afegão, fazendo do país um dos poucos em que este número é maior entre a população feminina. Embora antigo, e por certo desatualizado, o estudo realizado pela organização não-governamental Global Rights em 2008 não deixa de ser revelador: quase 90% das mulheres afegãs já foram vítimas de violência doméstica.  Quanto ao número de homicídios envolvendo jornalistas, a situação também é especialmente problemática, tendo a organização não-governamental Repórteres sem Fronteiras listado o Afeganistão como um dos países menos seguros, em 2018. Nesse ano, morreram 16 jornalistas no país, nove dos quais no duplo atentado suicida ocorrido em Cabul a 30 de abril.	expresso	18	2019-05-14 19:25:12	False	True	True	False	True	True	True	y	2019	Afghanistan	Bamyan	33.95750760000001	66.97330637499999
146	60082d71d0d6153140dd5e42	60082d3d6c4fa8b10676cf5c	6001e5addaf0a7a32dd41196	IAH-20190511050910323-p84.arquivo.pt	fc407bb64262a77ef1d24c77776cae88	https://arquivo.pt/noFrame/replay/20190511051004/https://expresso.pt/sociedade/2018-09-07-Prisao-preventiva-para-genro-e-filha-de-professora-assassinada-no-Montijo	2018-09-07 00:00:00	Prisão preventiva para genro e filha de professora assassinada no Montijo	[]	Os dois suspeitos, a filha adotiva e o genro da vítima, vão aguardar julgamento nos estabelecimentos prisionais de Tires e do Montijo, respetivamente  O Tribunal do Montijo decretou nesta sexta-feira prisão preventiva para o casal suspeito de ter matado uma professora, que é mãe e sogra dos arguidos, na sequência de desavenças familiares, disse à agência Lusa fonte policial.  Os dois suspeitos, a filha adotiva e o genro da vítima, que viviam na mesma casa e foram detidos hoje de madrugada pela Polícia Judiciária de Setúbal, vão aguardar julgamento nos estabelecimentos prisionais de Tires e do Montijo, respetivamente. Segundo a Polícia Judiciária de Setúbal, a professora encontrada morta na quarta-feira, em Pegões, terá sido drogada pela filha adotiva e pelo genro durante o jantar de sábado, antes de ser agredida com um martelo e depois transportada e queimada naquela zona.  O crime terá sido o culminar de desentendimentos frequentes entre Amélia Fialho, de 59 anos, professora de Físico-Química na Escola Secundária Jorge Peixinho, no Montijo, e a filha adotiva e o genro. O mau relacionamento familiar entre a vítima e os dois arguidos remonta, pelo menos, a 2014, ano em que a PSP do Montijo terá sido chamada a casa da família por alegadas agressões da filha adotiva à professora, agora assassinada.	expresso	11	2019-05-11 05:10:04	False	False	False	False	True	True	True	y	2019	Spain	Extremadura	38.9098936	-6.6151799
163	60082d71d0d6153140dd5e56	60082d3d6c4fa8b10676cf70	60021b257f92159084b65ac1	IAH-20190501040655356-p84.arquivo.pt	3df0756dbcf2d983dafa7e7513a44656	https://arquivo.pt/noFrame/replay/20190501040731/https://www.dn.pt/mundo/interior/a-procura-dos-doces-da-pascoa-mae-e-filho-encontraram-a-morte-10834026.html	2019-04-25 23:47:00	"Pai leva família à procura dos ""doces da Páscoa"". Mata a mulher e o filho mais velho"	['Global Media Group', 'Epa Cristobal Garcia']	"Polícia espanhola encontrou os dois corpos esta quarta-feira, após buscas que envolveram dois helicópteros e centenas de pessoas  O caso envolve uma família alemã e está a chocar Espanha. Os pais estavam em processo de separação e a mulher, Shylvia, de 39 anos, vivia na Saxónia-Anhalt, na Alemanha com os filhos, dois rapazes, de 6 e 10 anos. O homem, Thomas de 43, morava em Adeje, Tenerife. Aparentemente, os filhos não sabiam da separação e, para eles, os pais trabalhavam em países diferentes e encontravam-se nas férias. Chegaram a Tenerife na última segunda-feira.  Na terça-feira, o pai organizou um passeio para encontrarem doces da Páscoa numa caverna de Adeje.  Jonas Handricks, o filho mais novo, ouviu a mãe gritar e, quando viu sangue, desatou a correr. Cinco horas depois foi encontrado por caminhantes, desnorteado, sujo e arranhado. Estes levaram-no à esquadra local.  Fechar Subscreva as newsletters Diário de Notícias e receba as informações em primeira mão. Subscrever  Uma holandesa que vive na zona serviu de tradutora e o que a criança lhe contou foi que o pai organizara a excursão e alugara um carro para fazerem um piquenique e encontrarem doces. Chegaram a uma zona escarpada e com rochas, entre as ravinas do Burro e a do Inferno, o pai estacionou e disse que escondera uma lembrança de Páscoa numa caverna mais recolhida.  ""O menino agarrou a minha mão, estava ansioso"", contou Rosi ao El País, antes de acrescentar que a criança lhe contou ter escapado do local onde o pai terá matado a mãe e o irmão.  Chegados à caverna, terá começado a agredir a mulher, Shylvia. Nessa altura, Jonas fugiu e não terá visto a mãe e o irmão a serem mortos. Os corpos foram encontrados na quarta.-feira, a partir do relato da criança, numa zona isolada e de difícil acesso.  Dois helicópteros e centenas de pessoas nas buscas  As buscas envolveram dois helicópteros e centenas de pessoas que varreram a zona onde Jonas disse ter estado com a família. E, em conferência de imprensa esta quinta-feira, o presidente da câmara de Adeje, José Fraga, admitiu que podiam nunca ter encontrado os cadáveres se não fosse a descrição de Jonas. ""Tudo indica que foi um crime planeado"", afirmou.  Os primeiros indicadores recolhidos pela polícia apontam para premeditação nos homicídios. A mulher terá sido a primeira a ser morta e em frente ao filho, a segunda vítima mortal do homem, cozinheiro de profissão e sobre o qual não se conhecem denúncias criminais  Thomas seria detido em casa, onde foi encontrado a dormir, como se nada tivesse acontecido. E reagiu com brutalidade, recusando indicar onde estava a família.  As autoridades contactaram outros familiares das crianças, que se deslocaram à ilha das Canárias. O governo local decretou dois dias de luto nacional pelas vítimas, a quem prestaram uma última homenagem esta quinta-feira.  As autoridades espanholas estão a tratar este caso como sendo de violência doméstica. Cristina Valido, conselheira do Governo das Canárias, explicou que as autoridades tiveram ""a tentação de deixar o rapaz voltar o mais rapidamente possível à vida normal no seu país, mas ele testemunhou uma atrocidade e terão de ser as autoridades judiciais a decidir quando é que pode regressar"" à Alemanha."	diario_noticias	17	2019-05-01 04:07:31	False	True	False	False	True	True	True	y	2019	Spain	unknown	29.79608982857143	-14.982126909061765
