news_site_title	search_newspaper	dateyear
Madeira. Mulher assassinada à facada por ex-companheiro	diario_noticias	2019
Mais uma mulher assassinada depois de anos de violência doméstica em Lisboa	sol	2019
Mãe de cinco crianças assassinadas pelo pai pede clemência	sol	2019
Família quer ficar com filho de mulher assassinada pelo ex-amante em Amarante	correio_manha	2019
Homem mata mulher a tiro em Ferreira do Alentejo	diario_noticias	2019
Portuguesa assassinada nos Estados Unidos por marido que tentou suicídio	visao	2019
Mulher assassinada em Vila Real de Santo António	expresso	2019
No “pior país do mundo para se ser mulher” foi assassinada mais uma durante o fim de semana	expresso	2019
Prisão preventiva para genro e filha de professora assassinada no Montijo	expresso	2019
"Pai leva família à procura dos ""doces da Páscoa"". Mata a mulher e o filho mais velho"	diario_noticias	2019
Homem mata mulher e filho durante caça ao ovo da Páscoa	expresso	2019
Ex-fuzileiro mata mulher num ataque de fúria	correio_manha	2019
Turista alemã violada e assassinada no Golfo da Tailândia	sol	2019
Mulher assassinada pelo marido em Vieira do Minho	correio_manha	2019
Mulher assassinada em Corroios. Ex-companheiro é o principal suspeito do crime	sol	2019
Marido mata a mulher em Vieira do Minho e entrega-se às autoridades	sol	2019
Judiciária sem pistas de mulher assassinada em Leça da Palmeira	correio_manha	2019
Mulher assassinada domingo à noite numa rua da Golegã	jornal_noticias	2019
Mulher assassinada na Golegã foi morta por ex-companheiro	jornal_noticias	2019
Mulher assassinada a tiro num parque de estacionamento de uma discoteca na Golegâ	sol	2019
Homem que matou a companheira diz que a julgava a fingir desmaio	correio_manha	2019
Despertar em 60 segundos: Mulher portuguesa assassinada pelo marido em França	jornal_noticias	2019
Mata mulher em França e conduz até Sacavém	correio_manha	2019
Assassina mulher à facada quatro horas depois de ter alta psiquiátrica	correio_manha	2018
Justiça falha proteção a mulher assassinada	correio_manha	2018
"Júlia, a primeira transexual dirigente de um partido português: “O medo de ser assassinada acompanha-me"""	expresso	2018
Homem mata mulher que tentou raptar para casar	correio_manha	2018
Psicótico mata mulher à facada na Azambuja	correio_manha	2018
Brasil em choque com imagens de marido que mata a mulher	diario_noticias	2018
Mulher assassinada com martelo em Viseu	jornal_noticias	2018
Mata amiga da mulher durante uma discussão	correio_manha	2018
Assassina a mulher a tiro e cai morto ao seu lado	correio_manha	2018
Assassinada a última mulher que falava língua indígena da Amazónia	diario_noticias	2018
Homem armado mata a mulher no emprego	publico	2018
Homem mata mulher à pancada e entrega-se à GNR	correio_manha	2018
Português mata mulher e filho a tiro na Suíça	correio_manha	2018
Mata mulher ao pontapé por não querer fazer sexo	correio_manha	2018
Mulher assassinada pelo namorado testemunha contra este em tribunal	correio_manha	2018
Pedreiro mata mulher à pancada em Sintra	correio_manha	2018
Mulher morre assassinada pelo marido 37 dias após fazer queixa	correio_manha	2018
Violência doméstica. Mulher assassinada pelo marido 37 dias depois de apresentar queixa	sol	2018
Lentidão e burocracia. Ministério Público falhou e mulher foi assassinada	diario_noticias	2018
Homem mata mulher a tiros de caçadeira e suicida-se	diario_noticias	2018
Homem mata mulher em Évora	correio_manha	2018
Filho de milionário mata mulher com quatro tiros	correio_manha	2017
Homem mata mulher e suicida-se em Salvaterra de Magos	sol	2017
Homem mata mulher a tiro no local de trabalho e a seguir suicida-se	sol	2017
Homem mata mulher no emprego e suicida-se	correio_manha	2017
Youtuber mata namorado em direto	correio_manha	2017
Pai mata mulher à martelada e viola filha durante anos	correio_manha	2017
Homem mata mulher e fica ferido com gravidade	diario_noticias	2017
