news_site_title	search_newspaper
Professor mata ex-mulher com cinco tiros na rua	diario_noticias
Homem que matou mulher em Boticas foi detido	publico
Homem mata ex-mulher a tiro em plena rua de Lagos	publico
Homem mata mulher em Boticas e foge armado	publico
Homem que matou mulher detido em casa de familiares	diario_noticias
Homem doente mata mulher	diario_noticias
Homem mata ex-mulher grávida de sete meses	diario_noticias
Beja: ex-bancário mata mulher, filha e neta dentro de casa [fotos]	sol
Mulher assassinada em Sernancelhe	jornal_noticias
Homem mata mulher, filha e neta em Beja	publico
Sexagenário mata mulher de 35 anos após sexo	sol
Mulher afegã assassinada pelo marido por ter tido mais uma filha	publico
Homem mata mulher e sogra a tiro num hospital	diario_noticias
