news_site_title	dateyear	district
Mais uma mulher assassinada depois de anos de violência doméstica em Lisboa	2019	Lisboa
Família quer ficar com filho de mulher assassinada pelo ex-amante em Amarante	2019	Porto
Homem mata mulher a tiro em Ferreira do Alentejo	2019	Setúbal
Mulher assassinada em Vila Real de Santo António	2019	Faro
Ex-fuzileiro mata mulher num ataque de fúria	2019	Braga
Mulher assassinada pelo marido em Vieira do Minho	2019	Braga
Mulher assassinada em Corroios. Ex-companheiro é o principal suspeito do crime	2019	Setúbal
Marido mata a mulher em Vieira do Minho e entrega-se às autoridades	2019	Braga
Judiciária sem pistas de mulher assassinada em Leça da Palmeira	2019	Porto
Mulher assassinada domingo à noite numa rua da Golegã	2019	Santarém
Mulher assassinada na Golegã foi morta por ex-companheiro	2019	Santarém
Mulher assassinada a tiro num parque de estacionamento de uma discoteca na Golegâ	2019	Santarém
Homem que matou a companheira diz que a julgava a fingir desmaio	2019	Porto
"Júlia, a primeira transexual dirigente de um partido português: “O medo de ser assassinada acompanha-me"""	2018	Santarém
Mulher assassinada com martelo em Viseu	2018	Viseu
Mata amiga da mulher durante uma discussão	2018	Porto
Homem armado mata a mulher no emprego	2018	Santarém
Homem mata mulher à pancada e entrega-se à GNR	2018	Leiria
Pedreiro mata mulher à pancada em Sintra	2018	Lisboa
Lentidão e burocracia. Ministério Público falhou e mulher foi assassinada	2018	Lisboa
Homem mata mulher a tiros de caçadeira e suicida-se	2018	Viana do castelo
Homem mata mulher em Évora	2018	Évora
Filho de milionário mata mulher com quatro tiros	2017	Lisboa
Homem mata mulher e suicida-se em Salvaterra de Magos	2017	Santarém
Homem mata mulher a tiro no local de trabalho e a seguir suicida-se	2017	Santarém
Homem mata mulher no emprego e suicida-se	2017	Santarém
Homem mata mulher e fica ferido com gravidade	2017	Leiria
Mulher assassinada pelo marido em Ponte de Lima	2017	Viana do castelo
Homem mata mulher por asfixia em Santarém	2017	Leiria
Homem mata mulher e suicida-se em Penafiel	2017	Porto
Homem mata ex-mulher num jardim em Alcáçovas, Évora	2017	Évora
Mata mulher à facada em jardim público	2017	Évora
Homem mata mulher durante discussão e suicida-se em Lisboa	2017	Lisboa
Homem mata mulher à facada em Esmoriz	2017	Aveiro
Famalicão. Homem mata mulher e tenta suicidar-se	2017	Braga
Homem mata mulher e faz explodir o corpo	2017	Lisboa
Mata mulher e barrica-se em apartamento	2016	Santarém
Mulher assassinada por terminar relação	2016	Porto
Mata mulher à machadada	2016	Santarém
Marido assassina mulher a tiro em Sacavém e lança-lhe granada de seguida	2016	Viseu
Mulher assassinada pelo ex-companheiro no Bombarral	2016	Leiria
25 anos de prisão para homem que matou mulher e filha em Soure	2016	Coimbra
Mulher assassinada pelo marido em Setúbal	2016	Setúbal
Mulher assassinada pelo marido em plena via pública	2016	Setúbal
Mulher assassinada num prédio no centro de Guimarães	2016	Porto
Homem mata mulher e filha em Coimbra	2016	Coimbra
Homem mata mulher, avisa GNR e suicida-se em seguida	2016	Porto
Mulher assassinada na estação da Amadora	2016	Lisboa
Homem mata mulher e suicida-se em Armamar	2016	Coimbra
Mulher assassinada pelo marido na rua	2016	Setúbal
Marido assassina mulher com caçadeira em Ourém	2016	Santarém
Homem mata mulher, amiga desta e suicida-se	2015	Setúbal
Homem mata mulher com faca e fere outra com gravidade	2015	Vila real
Mulher assassinada em Setúbal	2015	Setúbal
Milionária brasileira assassinada pelo marido no Estoril	2015	Lisboa
Homem de 73 anos mata mulher doente terminal em Matosinhos	2015	Porto
Homem mata mulher e suicida-se em Coimbra	2015	Santarém
Idoso mata mulher e suicida-se em Sever do Vouga	2015	Aveiro
Homem mata mulher durante processo de divórcio	2015	Viseu
Associações recordam em Lisboa e Coimbra mulheres assassinadas em Portugal	2014	Santarém
Órfãos de mulher assassinada na Suíça vêm para Portugal	2014	Santarém
Consulado quer saber se é uma jovem brasileira a mulher assassinada em Braga	2014	Braga
Mulher assassinada à facada na Costa da Caparica	2014	Setúbal
Advogada assassinada em Estremoz	2014	Évora
Homem matou advogada da ex-mulher em Estremoz	2014	Évora
Mulher assassinada à facada na Baixa da Banheira	2014	Setúbal
Homem mata ex-mulher e um militar da GNR a tiro	2013	Coimbra
Mata a mulher a tiro por ciúmes	2013	Bragança
Loulé: Homem mata a mulher e suicida-se de seguida	2013	Faro
Homem mata mulher e suicida-se em frente ao neto de quatro anos	2013	Évora
Cinzas de corpo de emigrante assassinada divididas entre a Suíça e Portugal	2013	Aveiro
Desempregado mata mulher grávida	2013	Lisboa
Detido homem que matou mulher grávida	2013	Lisboa
Corpo de emigrante assassinada cremado quase dois meses depois, cinzas divididas com Portugal	2013	Aveiro
Homem que matou mulher em Boticas foi detido	2012	Guarda
Homem que matou mulher detido em casa de familiares	2012	Guarda
Homem doente mata mulher	2012	Lisboa
Homem mata ex-mulher grávida de sete meses	2012	Lisboa
Beja: ex-bancário mata mulher, filha e neta dentro de casa [fotos]	2012	Beja
Mulher assassinada em Sernancelhe	2012	Lisboa
Homem mata mulher, filha e neta em Beja	2012	Setúbal
Idoso mata a mulher e suicida-se em seguida	2011	Lisboa
PJ detém filho adoptivo da médica que foi assassinada em Coimbra	2010	Coimbra
Homem mata mulher e filha à facada em Braga	2010	Braga
